,Email_ID,Subject,Body,Category,Cleaned_Subject,Cleaned_Body,combined_text
0,1,Sale on Electronics,Get 50% off on all electronics today!,Spam,"['sale', 'on', 'electronics']","['get', 'off', 'on', 'all', 'electronics', 'today']",sale on electronics get off on all electronics today
1,2,Meeting Reminder,Don’t forget the team meeting tomorrow at 10 AM.,Important,"['meeting', 'reminder']","['don’t', 'forget', 'the', 'team', 'meeting', 'tomorrow', 'at', 'am']",meeting reminder don’t forget the team meeting tomorrow at am
2,3,Win a Free Vacation,Claim your free vacation now! Click here!,Spam,"['win', 'a', 'free', 'vacation']","['claim', 'your', 'free', 'vacation', 'now', 'click', 'here']",win a free vacation claim your free vacation now click here
3,4,Project Update,The latest project update is available on the intranet.,Important,"['project', 'update']","['the', 'latest', 'project', 'update', 'is', 'available', 'on', 'the', 'intranet']",project update the latest project update is available on the intranet
4,5,Discount Offer,Exclusive 30% discount on your next purchase!,Spam,"['discount', 'offer']","['exclusive', 'discount', 'on', 'your', 'next', 'purchase']",discount offer exclusive discount on your next purchase
5,6,Job Application Follow-Up,We have reviewed your application and will get back to you soon.,Important,"['job', 'application', 'followup']","['we', 'have', 'reviewed', 'your', 'application', 'and', 'will', 'get', 'back', 'to', 'you', 'soon']",job application followup we have reviewed your application and will get back to you soon
6,7,Free Gift Card,Win a $100 gift card by participating in our survey!,Spam,"['free', 'gift', 'card']","['win', 'a', 'gift', 'card', 'by', 'participating', 'in', 'our', 'survey']",free gift card win a gift card by participating in our survey
7,8,Client Feedback Request,Please provide feedback on our recent service.,Important,"['client', 'feedback', 'request']","['please', 'provide', 'feedback', 'on', 'our', 'recent', 'service']",client feedback request please provide feedback on our recent service
8,9,Special Promotion,Don’t miss out on our special promotion this weekend!,Spam,"['special', 'promotion']","['don’t', 'miss', 'out', 'on', 'our', 'special', 'promotion', 'this', 'weekend']",special promotion don’t miss out on our special promotion this weekend
9,10,Your Invoice is Ready,Your invoice for last month is available for download.,Important,"['your', 'invoice', 'is', 'ready']","['your', 'invoice', 'for', 'last', 'month', 'is', 'available', 'for', 'download']",your invoice is ready your invoice for last month is available for download
10,11,Final Notice: Payment Due,This is a final notice regarding your overdue payment.,Spam,"['final', 'notice', 'payment', 'due']","['this', 'is', 'a', 'final', 'notice', 'regarding', 'your', 'overdue', 'payment']",final notice payment due this is a final notice regarding your overdue payment
11,12,Upcoming Webinar,Join our upcoming webinar on data science trends.,Important,"['upcoming', 'webinar']","['join', 'our', 'upcoming', 'webinar', 'on', 'data', 'science', 'trends']",upcoming webinar join our upcoming webinar on data science trends
12,13,Congratulations,You’ve won a prize! Contact us to claim it.,Spam,['congratulations'],"['you’ve', 'won', 'a', 'prize', 'contact', 'us', 'to', 'claim', 'it']",congratulations you’ve won a prize contact us to claim it
13,14,Annual Report,Please review the annual financial report attached.,Important,"['annual', 'report']","['please', 'review', 'the', 'annual', 'financial', 'report', 'attached']",annual report please review the annual financial report attached
14,15,Limited Time Offer,Act now to get 40% off on all items!,Spam,"['limited', 'time', 'offer']","['act', 'now', 'to', 'get', 'off', 'on', 'all', 'items']",limited time offer act now to get off on all items
15,16,Your Application Status,We have received your application and are reviewing it.,Important,"['your', 'application', 'status']","['we', 'have', 'received', 'your', 'application', 'and', 'are', 'reviewing', 'it']",your application status we have received your application and are reviewing it
16,17,Special Sale Event,Join our special sale event and save big!,Spam,"['special', 'sale', 'event']","['join', 'our', 'special', 'sale', 'event', 'and', 'save', 'big']",special sale event join our special sale event and save big
17,18,Security Alert,We have detected unusual activity on your account.,Important,"['security', 'alert']","['we', 'have', 'detected', 'unusual', 'activity', 'on', 'your', 'account']",security alert we have detected unusual activity on your account
18,19,Reminder: Payment Due,Your payment is due soon. Please make it by the due date.,Spam,"['reminder', 'payment', 'due']","['your', 'payment', 'is', 'due', 'soon', 'please', 'make', 'it', 'by', 'the', 'due', 'date']",reminder payment due your payment is due soon please make it by the due date
19,20,Product Launch,We’re excited to announce the launch of our new product!,Important,"['product', 'launch']","['we’re', 'excited', 'to', 'announce', 'the', 'launch', 'of', 'our', 'new', 'product']",product launch we’re excited to announce the launch of our new product
20,21,Important Update on Your Account,We have updated the terms of your account.,Important,"['important', 'update', 'on', 'your', 'account']","['we', 'have', 'updated', 'the', 'terms', 'of', 'your', 'account']",important update on your account we have updated the terms of your account
